datetime,portfolio_value,cash,positions,return
2023-08-23 17:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-23 18:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-23 19:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-23 20:00:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-24 12:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-24 13:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-24 13:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-24 14:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-24 15:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-24 16:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-24 17:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-24 18:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-24 19:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-24 20:00:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-25 12:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-25 13:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-25 13:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-25 14:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-25 15:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-25 16:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-25 17:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-25 18:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-25 19:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-25 20:00:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-28 12:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-28 13:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
2023-08-28 13:30:00+00:00,98690.02102573455,98690.02102573455,[],0.0
